name,,n,clinical_phase,moa,target,disease_area,indication,drug_median_score,in_vitro,all_virus_mock_meta_GSE47960_SARS-BatSRBD_HAE_36_72,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_12_48,all_virus_mock_meta_GSE47960_SARS-dORF6_HAE_48_60,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_4,all_virus_mock_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_0_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_48
sn-38,clinically available?,76,Launched,topoisomerase inhibitor,TOP1,oncology,colorectal cancer,4,FALSE,1,201,42,2,1,1,1,521,14,4,28
bortezomib,"Intravenous, marketed as Velcade",87,Launched,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL),8,FALSE,6,36,1425,3,2,8,11,595,52,1,2
teniposide,Intravenous,91,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL),10,FALSE,2,273,148,1,3,2,3,268,56,10,24
jtc-801,three opioid receptor anta in top 100,5,Phase 2,opioid receptor antagonist,OPRL1,,,14,FALSE,14,3,523,12,13,22,61,289,15,3,1
pyrvinium-pamoate,known hits,64,Launched,androgen receptor antagonist,AR,,,15,TRUE,15,80,885,7,5,3,8,432,116,19,11
camptothecin,similar to teniposide,61,Phase 3,topoisomerase inhibitor,TOP1,,,20,FALSE,13,53,16,20,21,10,12,179,12,22,44
cd-437,,67,Preclinical,retinoid receptor agonist,RARG,,,20,FALSE,7,466,181,5,4,14,14,857,287,50,20
puromycin,,30,Preclinical,protein synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,,,22,FALSE,22,32,901,11,11,18,85,327,68,9,3
ym-155,phase 2,58,Phase 2,survivin inhibitor,BIRC5,,,26,FALSE,68,102,595,4,6,5,26,726,82,5,4
bvt-948,,10,Preclinical,tyrosine phosphatase inhibitor,PTPN1|PTPN11|PTPN2,,,29,FALSE,65,131,136,10,7,4,17,555,151,18,29
benzethonium,topical route,4,Launched,sodium channel blocker,SCN10A,infectious disease,first-aid antiseptic,31,FALSE,119,28,31,90,117,44,97,13,25,12,26
peruvoside,"phase 1, heart failure",3,Phase 1,cardiac glycoside,,,,31,FALSE,8,8,6,36,147,31,48,53,38,8,13
idarubicin,same topoisomerase inhibitor,86,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy,acute myeloid leukemia (AML),32,FALSE,3,184,210,13,17,12,2,119,32,48,84
mg-132,same as bortezomib,47,Preclinical,proteasome inhibitor,PSMB1,,,33,FALSE,9,33,1468,19,10,39,41,658,266,17,16
amsacrine,same topoisomerase inhibitor,22,Launched,topoisomerase inhibitor,KCNH2|TOP2A,hematologic malignancy,acute lymphoblastic leukemia (ALL)|acute lymphoblastic leukemia (ALL),35,FALSE,17,371,161,6,9,13,29,733,253,56,35
pyrvinium,known hits,7,Launched,androgen receptor antagonist,,,,36,FALSE,30,160,419,31,36,26,157,280,41,20,23
tegaserod,approved conditionally,10,Withdrawn,serotonin receptor partial agonist,HTR2A|HTR2B|HTR2C|HTR4,,,36,FALSE,36,13,343,23,26,56,83,171,61,14,9
ivermectin,anti-parasite same as pyrvinium,14,Launched,benzodiazepine receptor agonist,CHRNA7|GABRB3|GLRA3|P2RX7,infectious disease,gastrointestinal roundworms|lungworms|cattle grubs|mites|lice|horn flies,37,FALSE,37,254,83,24,24,33,63,74,102,25,36
cd-1530,similar to cd-437,44,Preclinical,retinoid receptor agonist,RARG,,,38,FALSE,61,46,313,22,22,24,38,770,178,35,17
cgp-71683,,15,Preclinical,neuropeptide receptor antagonist,NPY5R,,,39,FALSE,39,49,170,27,14,19,104,159,65,23,18
haloprogin,topical ointment or cream in the treatment of Tinea infections,3,Launched,other antifungal,,infectious disease,tinea pedis,41,FALSE,124,41,90,85,47,15,22,377,39,21,7
palbociclib,"Capsule, replace with alvocidib (CDK & EGFR)",47,Launched,CDK inhibitor,CDK4|CDK6,oncology,breast cancer,41,FALSE,19,24,156,45,29,6,4,44,47,41,78
gemcitabine,,82,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer,42,TRUE,4,642,379,18,20,30,18,291,107,60,42
tyrphostin-a9,same as pyrvinium,26,Preclinical,protein tyrosine kinase inhibitor|tyrosine kinase inhibitor,,,,42,FALSE,57,67,565,14,12,11,42,217,91,7,8
sertindole,,3,Withdrawn,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|KCNH2,,,44,FALSE,44,2,314,117,74,16,54,48,8,2,22
homoharringtonine,,65,Launched,protein synthesis inhibitor,RPL3,hematologic malignancy,chronic myeloid leukemia (CML),46,FALSE,442,148,647,8,8,9,108,226,46,16,5
cladribine,,11,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,hematologic malignancy,hairy cell leukemia,48,FALSE,21,827,356,15,15,25,21,454,649,217,48
nifuroxazide,,3,Launched,bacterial DNA inhibitor,,gastroenterology,colitis|diarrhea,48,FALSE,90,7,52,41,48,59,9,294,72,15,21
nsc-663284,,23,Preclinical,CDC inhibitor,CDC25A|CDC25B|CDC25C,,,48,FALSE,48,132,407,21,18,7,35,1261,561,51,47
purvalanol-a,,14,Preclinical,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC,,,48,FALSE,5,138,88,48,41,52,6,106,74,39,43
tyloxapol,Endotracheal; an inhaled surfactant ,3,Launched,NFkB pathway inhibitor,LPL|NFKB2,,,48,FALSE,151,1,226,106,113,48,160,14,9,27,46
thiomersal,,2,Launched,other antibiotic,OXCT1,,,50,FALSE,229,27,3,67,46,36,313,82,50,61,12
cgk-733,,23,Preclinical,ATM kinase inhibitor|ATR kinase inhibitor,ATM|ATR,,,51,FALSE,94,51,413,35,27,37,73,285,67,37,31
tigecycline,,29,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,skin infections|pneumonia|intra-abdominal infections,51,FALSE,41,205,177,40,51,85,167,121,23,32,40
selamectin, topical parasiticide and antiparaside,15,Launched,nematocide,,infectious disease,flea control,57,FALSE,91,75,358,30,28,57,95,86,35,31,38
dabrafenib,Capsule,12,Launched,RAF inhibitor,BRAF|LIMK1|NEK11|RAF1|SIK1,oncology,melanoma,58,FALSE,58,462,9,112,129,67,112,6,1,6,56
niclosamide,known hits,94,Launched,DNA replication inhibitor|STAT inhibitor,STAT3,infectious disease,tapeworm,59,FALSE,102,70,497,32,25,27,59,134,99,30,39
ikk-16,,16,Preclinical,IKK inhibitor,IKBKB,,,60,FALSE,25,127,37,78,60,77,102,116,21,36,41
ikk-2-inhibitor-v,same as pyrvinium,73,Phase 1,IKK inhibitor|NFkB pathway inhibitor,IKBKB,,,62,FALSE,101,65,843,25,23,28,72,143,62,26,15
nnc-55-0396,,14,Preclinical,T-type calcium channel blocker,CATSPER1|CATSPER2|CATSPER3|CATSPER4,,,62,FALSE,38,56,135,93,95,118,110,62,49,38,45
methylene-blue,Intravenous; now it disappeared when chloroquine (CQ) and other drugs entered the market; used in Africa to treat malaria,56,Launched,guanylyl cyclase inhibitor|nitric oxide production inhibitor,ACHE,hematology,methemoglobinemia,63,FALSE,47,552,561,43,30,40,45,903,140,63,99
ryuvidine,,21,Preclinical,histone lysine methyltransferase inhibitor,CDK2|CDK4,,,63,FALSE,63,94,86,16,16,20,107,1138,282,42,37
